	genitiv_konstruktion	kontext	ID	epoche	Metapher	Metonymie	Name	quelle	w1	w2	1_abs	w1_aro	w1_img	w1_val	w2_abs	w2_aro	w2_img	w2_val	abs_diff	aro_diff	img_diff	val_diff	Titel	supersenser_0	supersenser_1	supersenser_2	supersenser_3	supersenser_4	supersenser_5	supersenser_6	supersenser_7	supersenser_8	supersenser_9
10	Schaum der tiefen Flut	"###
Und ich sah den >>>Schaum der tiefen Flut<<< ,
sah dein weißes###"	l00180027.txt	Moderne	1	1	HTML/l00180027.html	fotis1	Schaum	Flut	5.4950940562393615	3.845153846349783	5.441693028585076	5.5230472485589015	5.0084065312850505	5.132767051878496	5.598118369471437	4.180541758371176	0.4866875249543101	-1.2876132055287115	-0.1564253408863605	1.3425054901877234		5.067360877990723	-0.44222450256347656	-10.659790992736816	-3.2112216949462886	-19.41678810119629	8.565715789794924	3.088366985321045	-1.246333122253418	-21.58828353881836	-19.688234329223636
11	Stunde der Verzweiflung	"###tausend Silberlinge!
Die >>>Stunde der Verzweiflung<<< naht.

Und wenn###"	l00100120.txt	Moderne	1	0	HTML/l00100120.html	fotis1	Stunde	Verzweiflung	5.176266469678566	3.273931026713686	4.445804151850419	5.629192709174548	2.0814679086291576	8.235424827650899	4.215962884409597	2.2207369498264757	3.094798561049409	-4.961493800937214	0.2298412674408219	3.4084557593480733		4.955155372619629	11.922162055969238	14.564302444458008	-6.815221309661865	-29.17927169799805	-32.593360900878906	-9.504629135131836	9.292997360229492	-5.3737993240356445	-13.877527236938475
12	Strahl des Lichtes	"###hebe!

Nur einen >>>Strahl des Lichtes<<< , Herr! —
###"	l0040440.txt	Moderne	0	0	HTML/l0040440.html	fotis1	Strahl	Lichtes	5.334076801972136	4.0794924744199035	6.190538789087922	6.1285494895644685	4.540272268420964	5.056410242661014	5.8590291538050625	7.170221086071988	0.7938045335511719	-0.97691776824111	0.3315096352828615	-1.041671596507519		2.675711154937744	0.899174690246582	0.2577510476112366	-1.4045724868774414	-6.45713996887207	7.203423500061035	0.37587547302246094	1.7278082370758057	-2.56356143951416	-6.395315170288086
13	Gewand meiner Seele	### >>>Gewand meiner Seele<<< zittert im Sturm deiner Liebe###	l0030189.txt	Moderne	1	0	HTML/l0030189.html	fotis1	Gewand	Seele	5.311928103234737	3.362989994021332	6.766273991590017	5.521544840088378	3.03639360465514	5.1937678586475045	4.499217007077246	6.46198896301751	2.2755344985795967	-1.8307778646261723	2.267056984512772	-0.9404441229291322		-4.143325805664063	8.329082489013674	-13.072436332702635	-16.438957214355472	-5.4442524909973145	-9.422496795654297	-7.1228346824646	-4.8292555809021	-12.37189483642578	-10.25136947631836
14	Qual der Zeit	"###Überwinden
Im Gesang die >>>Qual der Zeit<<< ,
Neues Bild des###"	l00100026.txt	Moderne	1	0	HTML/l00100026.html	fotis1	Qual	Zeit	2.34209239181772	8.227987363281674	4.694470351550178	2.4606432667678075	2.82088064305681	3.687671460133799	3.599804431726482	7.4582877264726175	-0.4787882512390898	4.5403159031478735	1.0946659198236972	-4.9976444597048095		7.501981258392334	0.2430562973022461	-31.863067626953125	-5.206766605377197	12.573922157287598	28.1484489440918	2.8224489688873287	-2.036031723022461	-9.504007339477539	-0.7069079875946045
15	Spiel der Welt	"###Born
gedankenlos
das >>>Spiel der Welt<<< .

###"	l0040430.txt	Moderne	1	0	HTML/l0040430.html	fotis1	Spiel	Welt	4.868638245232229	5.102019296686166	6.0872022088764455	6.1895732456822525	3.6404155334646453	5.401138025867566	5.5817929754575815	7.433070054154746	1.2282227117675837	-0.2991187291814015	0.5054092334188631	-1.2434968084724956		19.625537872314453	1.8722696304321291	-1.8579988479614256	3.0069370269775386	-8.689703941345215	-5.319117546081543	-11.757904052734375	6.89719295501709	-6.409397602081299	-6.539045810699463
16	Bett des armen Weibes	"###Und tritt mit ihm ans >>>Bett des armen Weibes<<< ;
Doch gelb wie###"	l0070118.txt	Moderne	0	0	HTML/l0070118.html	fotis1	Bett	Weibes	7.966044998112718	3.919284883002072	8.344855799861895	5.72028989872465	4.0665948292861325	6.342105495924892	5.5564771265278745	4.617209354948823	3.8994501688265855	-2.42282061292282	2.7883786733340195	1.103080543775827		6.236494064331055	25.97024726867676	-11.189216613769533	-1.5076024532318115	-27.06081962585449	-2.1605160236358643	-11.868362426757812	-17.339736938476562	-13.905364990234375	-7.2141785621643075
17	Hauch der Luft	"###

Ihr Alle noch vom >>>Hauch der Luft<<< geschwellt,
Trunken vom###"	l00100128.txt	Moderne	1	1	HTML/l00100128.html	fotis1	Hauch	Luft	3.041286016467226	5.069019226975258	4.745586301694764	5.9144574528552125	5.825131680724968	4.144874751659791	6.493867711812693	5.817864025385653	-2.7838456642577407	0.9241444753154672	-1.7482814101179305	0.09659342746956057		18.040267944335934	-2.098516702651977	2.361799716949463	14.624317169189453	24.869842529296875	-8.477694511413574	6.210824489593506	-4.880556106567383	19.80511474609375	-2.1389739513397217
18	Geier des Ehrgeizes	"###mir packen.
Der >>>Geier des Ehrgeizes<<< richtet den Schnabel
Ewig###"	l00170146.txt	Moderne	1	0	HTML/l00170146.html	fotis1	Geier	Ehrgeizes	6.696055374226294	5.026620342099532	7.24321449286797	4.106255535475986	1.5977127343506967	6.483228642622397	3.5688062391679645	4.609000970856597	5.098342639875597	-1.4566083005228672	3.6744082537000047	-0.5027454353806089		-12.724090576171875	25.17156410217285	14.188297271728516	-1.256073236465454	-3.341442108154297	-12.083407402038574	13.78208065032959	21.72488784790039	-24.419382095336914	-13.27308750152588
19	Geschöpfe dieser Welt	"###Sternenzelt:
Sie sind >>>Geschöpfe dieser Welt<<< ,
Die als Schutzengel###"	l0070228.txt	Moderne	1	0	HTML/l0070228.html	fotis1	Geschöpfe	Welt	4.100975823929076	4.827150986933172	5.03582771638949	5.185999510713399	3.6404155334646453	5.401138025867566	5.5817929754575815	7.433070054154746	0.4605602904644308	-0.5739870389343942	-0.5459652590680912	-2.2470705434413487		7.897976398468018	4.410487174987793	2.948798179626465	-5.342170715332031	1.897010803222656	6.394380569458008	10.830387115478516	12.70832347869873	-8.395489692687987	-13.560606956481935
20	Backen meiner Kinder	"###,
von den roten >>>Backen meiner Kinder<<< .

Doch auf jenem###"	l0040651.txt	Moderne	0	0	HTML/l0040651.html	fotis1	Backen	Kinder	7.245251904589575	4.176731840464564	7.409449037734183	7.0456896363121855	6.9086439816217045	4.7797637772776085	6.987835220073508	6.9204446489385605	0.3366079229678709	-0.6030319368130455	0.42161381766067496	0.125244987373625		11.362689971923828	8.487835884094237	-6.6582398414611825	-7.926919460296631	-11.576128005981445	20.33681297302246	-0.09828472137451172	2.682067632675171	-12.66344928741455	0.08524894714355469
21	Dom der Luft	"###
Wölbt sich der kühle >>>Dom der Luft<<< .

Am Waldrand äsen###"	l0010254.txt	Moderne	1	0	HTML/l0010254.html	fotis1	Dom	Luft	6.2290853591328	4.123662363797422	7.507555426554315	5.168449915646726	5.825131680724968	4.144874751659791	6.493867711812693	5.817864025385653	0.4039536784078326	-0.02121238786236912	1.0136877147416214	-0.6494141097389248		5.838032245635986	18.72342300415039	0.3958892822265625	5.475116729736328	34.44503402709961	-36.93304061889648	3.4507029056549072	-7.61946439743042	7.76823616027832	3.253504753112793
22	Gewirr der Türme	"###vom finstern, nebelnassen
 >>>Gewirr der Türme<<< , Schlote, Giebel,###"	l0040575.txt	Moderne	0	0	HTML/l0040575.html	fotis1	Gewirr	Türme	4.6749442092519855	4.191083856884504	6.647211276597557	4.15709794603156	6.319670107737273	4.9373837088343935	6.7685157048280855	5.537448968399104	-1.6447258984852882	-0.7462998519498907	-0.12130442823052955	-1.3803510223675426		2.673813819885254	-22.15133476257324	-9.863712310791016	1.7699642181396484	-1.6663289070129397	3.3150250911712646	10.036443710327148	18.5156364440918	4.891392707824707	8.70442008972168
23	Strahlenbild der Liebe	"###
Unsterblich eins: das >>>Strahlenbild der Liebe<<< ,

Indessen wir,###"	l00180092.txt	Moderne	1	0	HTML/l00180092.html	fotis1	Strahlenbild	Liebe	5.675022694963408	4.1455809451455625	6.898570250702082	5.3748344591340045	2.224251488902223	7.129555548849733	4.402576850964682	7.8571889056716	3.450771206061185	-2.983974603704169	2.4959933997374018	-2.482354446537596		-19.978546142578125	0.7759990692138672	25.15222930908203	3.475580930709839	-15.502174377441404	26.48223304748535	-14.910161972045898	4.8250837326049805	-1.2004842758178709	-14.387134552001953
24	Zinnen des Klosters	"###empor,
den die >>>Zinnen des Klosters<<< krönen,
wachsen wenig###"	l00190030.txt	Moderne	0	0	HTML/l00190030.html	fotis1	Zinnen	Klosters	6.714292859393238	4.110583516932485	7.280431547000767	5.868213615027739	5.768345501331604	2.5101862925475533	6.033873058176916	5.065670236183908	0.9459473580616332	1.6003972243849325	1.2465584888238528	0.802543378843831		4.661379337310791	20.781129837036133	2.9907984733581543	5.227190971374512	-23.057462692260746	9.085748672485352	3.3185918331146236	-3.934073686599731	13.28325366973877	-15.84510898590088
25	Klagen des Weibes	"###Wänden des Saal's
Die >>>Klagen des Weibes<<< vertönen.

„Verlassen###"	l0070046.txt	Moderne	0	0	HTML/l0070046.html	fotis1	Klagen	Weibes	3.4200173481789253	5.329837658197872	4.2060675726683066	2.8782732860355487	4.0665948292861325	6.342105495924892	5.5564771265278745	4.617209354948823	-0.6465774811072071	-1.0122678377270198	-1.3504095538595695	-1.7389360689132751		5.257814884185791	-11.125144004821776	0.012791037559509277	-7.36733341217041	-8.359250068664549	-10.559370040893556	-37.12598419189453	-12.075096130371096	-2.9290900230407715	9.772814750671387
26	Kitzel Deiner Haut	"###nein, dich freut der >>>Kitzel Deiner Haut<<< ,
Doch nicht der###"	l0070200.txt	Moderne	1	1	HTML/l0070200.html	fotis1	Kitzel	Haut	4.156771574458647	8.125259472237483	5.1628777214805375	4.400929799593166	6.919512836406278	4.620888235901113	5.999628824363566	5.806476025164362	-2.76274126194763	3.50437123633637	-0.8367511028830297	-1.4055462255711966		-3.502159118652344	-1.8602478504180908	-13.046345710754395	15.948942184448242	6.112885475158691	-21.82359313964844	-0.7992358207702637	-1.191813826560974	13.507540702819824	14.256240844726562
27	Sang der Sternenschaar	"###höret auf den leisen
 >>>Sang der Sternenschaar<<< .

Rosenblüthenlippen, Ohrenmuschelpärchen###"	l0070038.txt	Moderne	1	0	HTML/l0070038.html	fotis1	Sang	Sternenschaar	4.415369531291775	5.102657717469336	4.805706851038745	5.0577333159522775	5.010699679841463	4.756358362669249	5.6867633717640675	5.9646647531345405	-0.5953301485496878	0.3462993548000872	-0.8810565207253207	-0.9069314371822648		13.668781280517578	-15.97738552093506	-0.3349590301513672	-5.176904678344727	10.926185607910156	-6.901310920715332	-1.4739508628845217	-0.3638241291046143	1.5154242515563965	-3.667485475540161
28	Schaummöven der Freiheit	"###Auf silberner Flutenbrust.

 >>>Schaummöven der Freiheit<<< schwingen
Und kreisen glanzerhellt###"	l00170105.txt	Moderne	1	0	HTML/l00170105.html	fotis1	Schaummöven	Freiheit	6.886004947174528	3.462369968904587	6.128849366731192	5.43462037070496	2.3427380350415024	6.706097055466636	4.356029254730951	7.328989825293548	4.543266912133023	-3.2437270865620493	1.7728201120002431	-1.8943694545885883		3.0954761505126958	24.716419219970703	7.103457927703857	-0.3639326095581055	-37.2816162109375	8.538664817810059	8.140820503234862	18.465160369873047	-38.88811492919922	-9.30683708190918
29	Häßlichkeit des Werdens	"###
den all die grausig-schöne >>>Häßlichkeit des Werdens<<< schmückt,
auf dessen###"	l00190018.txt	Moderne	1	0	HTML/l00190018.html	fotis1	Häßlichkeit	Werdens	2.3178339864525297	5.293333846378177	3.662551509128357	2.844761953650039	2.5211994934380133	5.200758628453708	3.64165166381059	4.9414295503150285	-0.2033655069854832	0.09257521792446877	0.020899845317766896	-2.096667596664989		-2.828588485717773	-1.4496455192565918	-12.844669342041016	-0.4809760451316834	5.2782487869262695	-2.086386680603028	13.516231536865234	-11.429564476013185	14.922237396240234	-9.232007026672363
30	Pulver der Reiterschlacht	"###
im Staube, dem >>>Pulver der Reiterschlacht<<< !
Nur rechts und###"	l0040464.txt	Moderne	1	1	HTML/l0040464.html	fotis1	Pulver	Reiterschlacht	6.428489385358884	3.5493629072964215	5.200140430912435	5.06665178407601	4.8850255977206185	6.69806773772568	6.019093606330133	3.7038924815850622	1.5434637876382675	-3.148704830429259	-0.818953175417696	1.3627593024909477		-9.140568733215332	-25.61848449707031	-17.37466049194336	-17.319175720214847	-35.1663818359375	17.32497787475586	8.270642280578612	-0.6959853172302246	5.251243591308594	-26.122224807739254
31	Stunden meines Schlafes	"###, es störte
auf >>>Stunden meines Schlafes<<< tiefe Rast...

*###"	l0040387.txt	Moderne	0	0	HTML/l0040387.html	fotis1	Stunden	Schlafes	5.197324715768621	3.3174453017162517	4.566562880703327	5.584772970150278	4.245192953668727	5.293330208921577	5.415877361314684	4.758449639448991	0.952131762099894	-1.9758849072053264	-0.8493144806113575	0.8263233307012872		12.159046173095705	1.8804152011871336	-1.0979223251342771	-2.0125560760498047	-24.7707633972168	-30.74100112915039	-12.98912239074707	-0.6535634994506836	-4.6822166442871085	3.030299425125122
32	Balsamdüfte deiner Kraft	"###deines Frühlings;
Die >>>Balsamdüfte deiner Kraft<<< 
Sind Fülle und Wonne###"	l00110062.txt	Moderne	1	0	HTML/l00110062.html	fotis1	Balsamdüfte	Kraft	6.5914613991390825	4.0493277275653625	5.9307446821869325	5.954414098386753	2.54599178833482	4.958157732575515	4.169640804411307	7.0971474242383525	4.045469610804263	-0.9088300050101524	1.7611038777756267	-1.1427333258515988		1.154627561569214	2.637730598449707	-2.813720226287842	-17.73053550720215	-17.576820373535153	7.0620155334472665	10.31422233581543	4.2976627349853525	-21.289640426635746	-13.021341323852539
33	Enden der Raa	"###
Stößt an den beiden >>>Enden der Raa<<< ,
Wie Oriflämmchen,###"	l0090056.txt	Moderne	0	0	HTML/l0090056.html	fotis1	Enden	Raa	4.9330007386606125	2.443779788116086	5.067219692306008	3.971812113182272	4.310667421131645	3.919203660272587	4.2332590393913785	5.2406764541602335	0.6223333175289669	-1.4754238721565012	0.8339606529146284	-1.2688643409779603		-4.497420310974121	4.308480739593507	-4.346560478210448	11.134387969970703	-18.526575088500977	12.06216049194336	-16.169422149658207	-1.273517370223999	-3.0264904499053955	-8.514278411865233
34	Äther der Wolken	"###hoch im sonnigen blauen
 >>>Äther der Wolken<<< Zug;

Als sollt###"	l00150148.txt	Realismus	1	1	HTML/l00150148.html	fotis1	Äther	Wolken	5.663094727301292	5.1676947373064825	5.818509980922553	5.2909892016576245	6.5603099599261565	3.486647427222793	7.442423189096456	5.924660745079796	-0.8972152326248644	1.6810473100836894	-1.6239132081739056	-0.6336715434221718		-5.489718437194824	-23.3498477935791	12.032971382141113	1.0690288543701172	18.60992813110352	0.8525800704956055	-5.557444095611572	6.12442684173584	2.7418980598449707	-8.739760398864746
35	Öde der Sehnsucht	"###Weil ich weiß, wie >>>Öde der Sehnsucht<<< folgt
Und dem Genuß###"	l00270104.txt	Realismus	1	0	HTML/l00270104.html	fotis1	Öde	Sehnsucht	2.7061138450263784	4.710748956776124	4.760103335690259	2.332034953794133	2.107968969458782	7.245391733568096	4.377865018245762	5.701697914510651	0.5981448755675962	-2.5346427767919715	0.3822383174444965	-3.369662960716522		-8.816699028015137	6.652488708496094	7.40602445602417	2.0609922409057617	-9.560430526733398	-6.909256935119629	1.9363660812377932	2.133899211883545	-11.507123947143555	-2.269080638885498
36	Stätte der Arbeit	"###Gebiet, nur noch die >>>Stätte der Arbeit<<< ,
Welche dem sterbenden###"	l00160220.txt	Realismus	0	0	HTML/l00160220.html	fotis1	Stätte	Arbeit	4.523918454086274	4.132550778714993	5.306319738784587	5.049159140224014	4.044566339521383	4.67676651643181	5.499754787135714	6.200662914294923	0.4793521145648896	-0.5442157377168169	-0.19343504835112926	-1.1515037740709078		-14.299924850463867	11.096397399902344	1.5489244461059568	-2.1181480884551998	1.9334869384765625	-9.24567985534668	16.198448181152347	-14.91253662109375	7.62603759765625	4.377450942993163
37	Glocken der Heimat	"###das Meer
Klingen die >>>Glocken der Heimat<<< .

###"	l00270683.txt	Realismus	1	0	HTML/l00270683.html	fotis1	Glocken	Heimat	6.289865453055147	4.212192229328057	5.868084611527442	4.543319870445936	4.2571130335398095	4.381737404082878	5.034424433958881	6.9751069777613735	2.0327524195153392	-0.16954517475482067	0.833660177568559	-2.4317871073154382		-9.702739715576172	14.435001373291016	-5.317705631256104	-8.338920593261719	-10.80115032196045	2.239144802093506	-16.077632904052734	17.611684799194336	-2.688415050506592	-5.133169174194336
38	Hand des Christen	"###, ich fluche nicht der >>>Hand des Christen<<< ,
Die das kalte###"	l0020115.txt	Realismus	1	1	HTML/l0020115.html	fotis1	Hand	Christen	6.703624337046354	3.154277831718426	7.190133288279097	6.630377278567913	4.624979996802829	4.596661699367223	5.139869438481061	4.623880660784693	2.0786443402435246	-1.4423838676487968	2.050263849798037	2.0064966177832195		18.721580505371094	8.846572875976562	-16.979251861572266	-3.3473105430603027	-31.266265869140625	23.889949798583984	-16.36404037475586	3.042953491210937	-7.049500465393066	-12.532736778259276
39	Sohn der Erde	"###Drum bleibe dies. Ein >>>Sohn der Erde<<< 
Bin ich, zu###"	l00200006.txt	Realismus	1	0	HTML/l00200006.html	fotis1	Sohn	Erde	6.413294245734773	4.5659324477019325	6.4277669492383165	6.223216768541905	5.434402261441059	4.20436731220394	6.02848865480091	6.08287299103277	0.9788919842937114	0.36156513549799296	0.3992782944374067	0.14034377750913496		15.976741790771484	-3.348759412765503	-4.759112358093262	5.971164226531982	15.300461769104006	-11.610569953918455	6.5753822326660165	15.632417678833008	5.566617012023926	-14.24803352355957
40	Weihe der Liebe	"###,
Den nicht die >>>Weihe der Liebe<<< gesegnet.

Doch der###"	l00150330.txt	Realismus	1	0	HTML/l00150330.html	fotis1	Weihe	Liebe	3.8351774869940254	5.41843647154938	5.258574118234353	5.1661328985614885	2.224251488902223	7.129555548849733	4.402576850964682	7.8571889056716	1.6109259980918031	-1.711119077300352	0.8559972672696725	-2.6910560071101104		-9.712038040161133	10.600814819335938	8.152862548828125	-4.497584342956543	5.112293243408203	-7.357914924621582	-5.411734580993652	-5.675968647003174	-4.1355910301208505	2.435262680053711
41	Klang der Lieder	"###,
Und läßt den >>>Klang der Lieder<<< 
Durch seine Träume ziehen###"	l0080525.txt	Realismus	0	0	HTML/l0080525.html	fotis1	Klang	Lieder	4.296376816076275	4.746751985533053	5.460526624220531	7.567480350920468	5.313095018269653	4.795563796283949	5.886827358215216	7.411233452388785	-1.0167182021933776	-0.04881181075089547	-0.4263007339946849	0.15624689853168405		-16.019906997680664	-3.5996379852294917	1.510509967803955	-3.800805807113648	-14.465371131896973	14.893129348754885	1.2046809196472168	-2.520463466644287	0.3990335464477539	6.041700839996338
42	Arm der Nacht	"###
Träumt die Natur im >>>Arm der Nacht<<< .
Von ihren Schleiern###"	l00270602.txt	Realismus	1	0	HTML/l00270602.html	fotis1	Arm	Nacht	7.091864602928138	4.302056327906497	7.309581600868883	5.326917765091436	5.298763175219153	4.684443578587269	5.539878960742989	6.759426280920388	1.7931014277089832	-0.3823872506807709	1.7697026401258942	-1.4325085158289506		2.125274181365967	-5.1425981521606445	-8.911076545715332	-2.455495357513428	17.1962890625	21.698322296142575	-6.593332290649414	-0.6822925806045532	-2.924476861953736	-21.88890838623047
43	Kränze des Danks	### >>>Kränze des Danks<<< auf die Gruft nach hundertjährigem###	l00130057.txt	Realismus	1	1	HTML/l00130057.html	fotis1	Kränze	Danks	4.9630480388263205	3.1550928570922667	6.535822326872146	5.336837536452438	4.372619792135346	5.306042332279207	5.706986366749296	6.337741520451479	0.5904282466909736	-2.15094947518694	0.8288359601228503	-1.0009039839990397		-0.3187093734741211	22.266809463500977	6.450892448425293	-13.947888374328613	-18.005178451538086	0.9770002365112304	-3.0702686309814453	3.4212846755981445	-9.596187591552734	-12.231878280639648
44	Schwelle der Frühgeschäftigen	"###.
Hier an die >>>Schwelle der Frühgeschäftigen<<< bring' ich den Epheu###"	l00160048.txt	Realismus	0	0	HTML/l00160048.html	fotis1	Schwelle	Frühgeschäftigen	3.746994909652666	4.189799804696624	3.71477196462142	4.921194649618372	4.9430418400188385	3.508822109780227	5.134063830066976	3.9372417744610937	-1.1960469303661745	0.6809776949163968	-1.4192918654455573	0.9839528751572786		-0.6486859321594238	8.324271202087402	-6.948185920715332	3.86607837677002	-13.283872604370115	14.318500518798828	-12.32327938079834	-9.368549346923828	3.6362590789794917	-11.8333158493042
45	Herrlichkeit des Himmels	"###— —
In die >>>Herrlichkeit des Himmels<<< 
Schritt ich graden Wegs###"	l0080568.txt	Realismus	1	0	HTML/l0080568.html	fotis1	Herrlichkeit	Himmels	3.420580215623126	4.1027047595400585	5.446204368526461	6.29827007334907	4.376630769706199	4.109208243034959	5.426901025605806	6.423620389909841	-0.9560505540830726	-0.006503483494900486	0.0193033429206535	-0.12535031656077056		11.076488494873047	-9.091745376586914	-14.70425796508789	0.3862779140472412	-2.320303440093994	-0.18235743045806885	1.633555889129639	0.18604755401611328	11.494346618652346	-8.718398094177246
46	Reich der Träume	"###
Im ganzen, weiten >>>Reich der Träume<<< 
Ist kein so schönes###"	l0080403.txt	Realismus	1	0	HTML/l0080403.html	fotis1	Reich	Träume	4.595048826874053	5.0363695357910006	5.8058864457865305	4.616162766177843	3.3402335206555223	7.343283038551718	4.678405932374393	7.028847762460465	1.2548153062185308	-2.3069135027607155	1.1274805134121353	-2.412684996282623		-12.281315803527832	-2.6586694717407227	-3.6316401958465576	-12.290714263916016	-15.158315658569336	-19.27490234375	-8.064520835876465	0.6068515777587891	-13.17021369934082	5.5954766273498535
